id,description,hierarchy_levels,type,source
ESCO_01faf296-e037-494c-bb1c-65bda5aed750,develop efficiency plans for maritime shipping,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.2'], ['ESCO_T', 'ESCO_T3', 'ESCO_T3.1', None], ['ESCO_S', 'ESCO_S2', 'ESCO_S2.8', 'ESCO_S2.8.2'], ['ESCO_A', 'ESCO_A1', 'ESCO_A1.15', 'ESCO_A1.15.0']]",preferredLabel,esco
ESCO_01fec851-b5f4-419b-940a-3b4c835adfa8,tend packaging machines,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.2']]",preferredLabel,esco
ESCO_01ffbbf3-0c62-45e0-92d9-01a86dc7c81d,advise on clay products handling,"[['ESCO_T', 'ESCO_T4', 'ESCO_T4.2', None], ['ESCO_S', 'ESCO_S1', 'ESCO_S1.5', 'ESCO_S1.5.3'], ['ESCO_S', 'ESCO_S1', 'ESCO_S1.5', 'ESCO_S1.5.0']]",preferredLabel,esco
ESCO_0200e5e6-218d-4dae-b1ab-250382250ecb,maintain drilling equipment,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.0', 'ESCO_S8.0.0'], ['ESCO_S', 'ESCO_S8', 'ESCO_S8.7', 'ESCO_S8.7.2']]",preferredLabel,esco
ESCO_02053349-bc3a-4945-bcf7-33d2136c14d5,control tree diseases,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.4', 'ESCO_S6.4.1']]",preferredLabel,esco
ESCO_0207f83d-a1e4-4b47-b80c-84d41257791f,analyse the artistic concept based on stage actions,"[['ESCO_S', 'ESCO_S1', 'ESCO_S1.12', 'ESCO_S1.12.3'], ['ESCO_S', 'ESCO_S2', 'ESCO_S2.7', 'ESCO_S2.7.0']]",preferredLabel,esco
ESCO_020918ef-4b55-47c1-8430-ab7b8f6a7377,migrate existing data,"[['ESCO_S', 'ESCO_S5', 'ESCO_S5.5', 'ESCO_S5.5.2']]",preferredLabel,esco
ESCO_020b3c27-bae1-4b85-9d6f-eccee0f5ed99,manage supplies,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.3', 'ESCO_S4.3.3']]",preferredLabel,esco
ESCO_02137a68-6860-45e8-8e4d-38db467bb8b6,human factors regarding safety,"[['ESCO_K', 'ESCO_K10', 'ESCO_K102', 'ESCO_K1022']]",preferredLabel,esco
ESCO_021cf226-3dac-4712-9738-24bf0952c064,perform roof maintenance,"[['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.5']]",preferredLabel,esco
